new_song,author,author_pred,confidence,correct
"Тага на минатото

Беше време кога сите ни беа блиски,
меѓу нас немаше граници, неа срцето ми
пред секој ветер, оти јас го знаев
мојата љубов, првата и последна,
ce единствената светлина во мојата тиха ноќ.

Тага ме опфати како темнината го опфаќа
небото, кога сите ми беа далечни,
а нејзината сенка се губеше во спомените,
сите ми се губеа во прашината на минатото.

Временските стрели ми го исечеа патот,
секој ден беше долга реченица, непрекината,
а срцето ми беше единствениот гласен знак
во тишината на спомените, единствено јас и
моето прашање: зошто сите ни беа далечни?

Сега слушам само ехо во ушите,
звуците на минатото се губеа во далечина,
а очите ми гледаа само празнини,
сите ми беа далечни, а јас сè уште барав
да ги најдам во сенките на времето.

Тага ме опфати како морето ги опфаќа
бреговите, негативната емоција се стегаше
во мојата душевна празнина,
и јас сè уште го барав светлиот свет на
мојата прва љубов, која се губеше во
бесконечната тишина на минатото.

Сега сите ми се далечни, а јас сè уште
барам да ги најдам во сенките на времето,
во празнините на спомените, во тишината на
душевната болка, во тагата на минатото.",Петре М. Андреевски,Петре М. Андреевски,0.9991258,True
"Тајни на срцето

Меѓу ѕидините на срцето беше тајна,
сите тихо чекаа, никој не ја знаеше.
Нејзината тишина го опфати првата светлина,
неа ја опфати сенката на минатото.

Пред да дојде времето, оти го слушав звукот,
мојата тишина, првата ѕвезда во ноќта.
Сега сите се прашаат, што стана со неа?
Меѓу ние, секој има свој дел од тагата.

Тајните се губеа во морето на спомени,
сите ние ги носиме, но никој не го знае.
Нејзината тишина, тихо го опфати првата светлина,
неа ја опфати сенката на минатото.

Секој ден се прашаме, зошто не можевме да ги спречиме,
меѓу нас, сите имаме свои прашања.
Тага го опфати срцето, првата ѕвезда во ноќта,
ние сите ги носиме тие прашања.

Морализираме, ние сите го знаеме,
но никогаш не можевме да им простим на зборовите.
Тие ни ги оставаа во прашања, во тишина,
сите ние ги носиме тие прашања.

Сега сите се прашаме, што стана со нас?
Меѓу нас, сите имаме свои прашања.
Тајните се губеа во морето на спомени,
сите ние ги носиме, но никој не го знае.

Секој ден се прашаме, зошто не можевме да ги спречиме,
меѓу нас, сите имаме свои прашања.
Тага го опфати срцето, првата ѕвезда во ноќта,
ние сите ги носиме тие прашања.

Сега сите сме празни, празни во нашиот дел,
меѓу нас, сите имаме свои прашања.
Тајните се губеа во морето на спомени,
сите ние ги носиме, но никој не го знае.

Секој ден се прашаме, што стана со нас?
Меѓу нас, сите имаме свои прашања.
Тага го опфати срцето, првата ѕвезда во ноќта,
ние сите ги носиме тие прашања.",Петре М. Андреевски,Петре М. Андреевски,0.87436163,True
"Тага на минатото

Беше време кога сите се среќуваа
меѓу дрвјата, нејзината сенка
прво се протегаше, а потоа исчезнуваше
пред утринскиот зрак кој оти се шегуваше.

Мојата душа се шеташе
во првата светлина на денот,
а неа сите ја слушаа,
но никој не знаеше зошто.

Тага ме опкружуваше,
како бура во тихо вечерно небо,
и ја чувствував нејзината гласнота
во секој звук што се губеше.

Видев ѕвезди што се исклучуваа,
светлини кои исчезнуваа,
и се чувствував како да сум во прашање
меѓу минатото и сегашноста.

Сега, тихо е онаму каде беше
светлината на нејзината смрт,
и сите се губеа во сенките на времето,
а јас сè уште се шетам во минатото.

Тој ден беше првиот кој се споменуваше,
и сите се сеќаваа на тоа,
но никој не знаеше зошто беше тој ден
така специјален, така трагичен.",Петре М. Андреевски,Петре М. Андреевски,0.998555,True
"Споменици на минатото

Беше првата вечера, кога сите се смееаме,
и нејзината смешност го осветлуваше темниот ден.
Меѓу нас, ти и јас, се криеше нешто вечно,
неа, која го освои срцето на мојата душа.

Пред да дојде времето на разделба,
оти ги носев спомените како скапоцени камења.
Мојата прва љубов, првата радост,
целото наше минато беше како една долга реченица.

Ти беше мојот свет, мојата единствена,
и ние ги исполнувавме денови со разговори,
со зборови за комуникација, за љубов,
и за сите оние моменти што никогаш не забораваме.

Индикаторите на моќта на нашата врска,
беа нашите долги разговори, нашите тиши мигови.
Сигурноста што ја имавме, беше како сон,
но и сонот има свое крај.

Увидот во нашиот однос беше искрен,
и дури и со негативните емоции,
ние секогаш се враќавме кон единство.
Неутрален тон беше нашата правило,
и ние го почитувавме.

Зборови поврзани со визуелна перцепција,
со привлечност и со смрт,
секој ден ги исполнувавме со љубов,
и со културата што ни ја споделувавме.

Зборови фокусирани на минатото,
секој ден ги исполнувавме со спомени,
со време што минуваше, но ние останавме истите.

Повторени зборови, како ритам на срцето,
интерпункциски симболи на нашата врска,
беа дел од нашиот живот,
и спомените што ги носиме со себе.

Беше првата вечера, кога сите се смееаме,
и нејзината смешност го осветлуваше темниот ден.
Меѓу нас, ти и јас, се криеше нешто вечно,
неа, која го освои срцето на мојата душа.

Дали се сеќаваш: Тој што го праша за мене,
оној е за кој сè уште прашуваш.",Петре М. Андреевски,Петре М. Андреевски,0.97866744,True
"ПОЕМА НА МИЛОСТА

Милоста беше светлото што го осветлуваше секој ден,
меѓу ѕидините на мојот дом, нејзината присуство беше
најсилното ветрот што ги држеше моите мисли во тек.
Сите ми го ветуваа, но само неа ја почувствував
првата што ми го откри смислата на животот.

Таа ме повикаше пред своите очила, осветлувајќи
го патот што го следев, неа ја гледах како сонце
меѓу облаците на моите несигурности. Оти нејзината
присутност беше она што менеше сè околу нас.

Мојата душа се осмели да скокне во длабочините на
нашиот спој, неа го зеде ракојато и менеше како
првата птица што пронајде свое гнездо. Неа ја следев
во секој ризик, во секоја сенка, во секое сончево
утро што се родуваше.

Желбите ми се стекнуваа со неа, секој ден ми беше
потребен да ја гледам, да ја чувствувам, да ја имам
во мојата близина. Нејзината љубов беше она што
ми го даде силата да се борам, да се надемам.

Сегашноста со неа беше она што го ценев најмногу,
но и иднината ми беше полна со надевање, со надеж
дека ќе продолжиме да го градиме нашиот свет заедно.
Мојот ум беше полн со перспективи, со очекувања за
она што доаѓа, но секој ден со неа беше благослов.

И така, јас продолжував да живеам во овој ритам,
осветлен од нејзината присутност, во текот на
нашиот животен пат, секој ден полн со љубов и благодарност
за неа, мојата прва и единствена љубов.",Петре М. Андреевски,Петре М. Андреевски,0.99998665,True
"Тајна на срцето

Тајна на срцето, нејзината сенка
беше првата ѕвезда што се родила на моето небо.
Секој ден, кога ќе се будам, сите мои мисли
се враќаат кон неа, како ветер кон својот брегот.
Межу ѕвонењето на утринските цвеќиња,
неа ја слушав, нејзината гласа беше мојот единствен
наод.

Оти таа беше она што го држеше моето срце
под миризба на смрека и тишина.
Секој збор што го пропуштав беше како празнина
во мојата душа, празнина што само неа можеше да ја пополне.

Нејзината болест беше мојот сон,
и јас бев колеблив, несигурен во светот без неа.
Секој ден, јас го гледам минатото, секој ден
се прашаам: „Што ако не беше неа?“

Сегашноста е празна, полна со тишина,
и само спомени од неа го полнат мојот ум.
Таа беше она што го правеше времето да тече,
и сега времето е како стоечки водени текови.

Мојот тон е тежок, полно со тага,
и срцето ми пукнува од болка.
Анксиозноста ме опколува, како сенка
која никогаш не се разведува.

Межу ѕвонењето на ѕвездите, јас го барам нејзиниот
свет, но тој е изгубен во темнината.
Таа беше мојот свет, мојата единствена ориентира,
и сега сè е празнина, празнина што никогаш нема да се наполни.

Тајна на срцето, нејзината сенка,
сега е само спомен, спомен кој ми го прави
да се колебам помеѓу сè или ништо.",Петре М. Андреевски,Петре М. Андреевски,0.9943403,True
"Песна на сегашноста

Мојата љубов, сегашноста што звучна е,
сите звици на денот, нијансите на неа.
Пред очите, сончевиот сјај, блиску до себе,
оти таму каде што срцето ми се стреме.

Меѓу нијансите на денот, ти си првата,
нејзината сенка, сончевиот ветер.
Сега, кога звукот на твоите чекори,
мојата душа се раде, се ослободува.

Сега, кога звукот на ветрот, ти си близу,
твојот здив, ми го пуши секој миг.
Мојот свет, ти си, сега и во секој миг,
беше тука, сега е тука, секој ден.

Мојата љубов, сегашноста што звучна е,
сите звици на денот, нијансите на неа.
Пред очите, сончевиот сјај, блиску до себе,
оти таму каде што срцето ми се стреме.",Петре М. Андреевски,Ефтим Клетников,0.9921753,False
"Тага на минатото

Беше време кога сите насмеани лица
се сликаа на нејзината уста,
пред неа, кога смешењето беше првата
светлина што го осветлуваше мојот ден.

Меѓу звучните ѕвонења на детството,
нејзината гласа беше мојот единствен
светилник во темнината на вечерите,
кога сите сончеви денови веќе беа заборавени.

Оти сега, мојата душа се труди
да го пронајде нејзиното лице,
пред се, во секој сон што се будам,
и оти секој ден ми го враќа назад.

Таа беше мојата прва љубов,
нејзината љубов беше мојот свет,
но сега сите спомени се исчезнаа,
сите траги остави празнина.

Пред неа, кога смешењето беше светло,
сега само имаме празнина,
и сите спомени се исчезнаа,
сите спомени се исчезнаа.

Тага ме опфати, јас сум исполнет
со анксиозност и празнина,
и сите спомени се исчезнаа,
сите спомени се исчезнаа.

Видевме светлина, но сега сите
светлини се стегнаа во сенки,
и сите спомени се исчезнаа,
сите спомени се исчезнаа.

Мојата душа се труди, се труди,
да го пронајде нејзиното лице,
пред се, во секој сон што се будам,
и оти секој ден ми го враќа назад.

Таа беше мојата прва љубов,
нејзината љубов беше мојот свет,
но сега сите спомени се исчезнаа,
сите спомени се исчезнаа.",Петре М. Андреевски,Петре М. Андреевски,0.99988735,True
"СОНОВА НА МИЛА

Мила беше, сите ја чекаа,
во нејзината душа светлина се шеташе.
Секој ден пред неа се отвораше ново врата,
и нејзината убавина се прошируваше.

Меѓу нејзините мисли беше сон што се раѓаше,
и неа првата ја осветлуваше.
Сите го гледаа нејзиното светло,
и се осмелуваа да го допреа.

Таа беше мојата, првата во срцето,
и нејзината љубов беше непозната.
Сите меѓу нас го знаеа,
но само неа ја знаеше.

Таа беше жена на смелост и силност,
и нејзината гласа беше звук на слобода.
Сите ја слушаа и се осмелуваа,
да се осмелат да ја допреа.

Таа беше сигурна во се што го имаше,
и нејзината смелост беше сон на сите.
Сите ја гледале и се осмелуваа,
да се осмелат да ја допреа.

Таа беше сон на сите,
и нејзината љубов беше непозната.
Сите меѓу нас го знаеа,
но само неа ја знаеше.

Таа беше мојата, првата во срцето,
и нејзината љубов беше непозната.
Сите го гледаа и се осмелуваа,
да се осмелат да ја допреа.

Таа беше сигурна во се што го имаше,
и нејзината смелост беше сон на сите.
Сите ја гледале и се осмелуваа,
да се осмелат да ја допреа.

Таа беше светло во темнината,
и нејзината љубов беше непозната.
Сите меѓу нас го знаеа,
но само неа ја знаеше.",Петре М. Андреевски,Петре М. Андреевски,0.9999894,True
"Тага на спомените

Беше време кога сите се среќувааме
меѓу ѕидините на минатото,
нејзината сенка се протегаше
преку мојата глава, неа.
Се сеќавав на првата вечер кога ce сретнавме,
сите звукови се губеа во далечина,
а ти ми бешеш како звукот на ветрот,
кој ми го шепотеше името.

Тага ме опфати како густа магла
и ми ги стеснуваше белите дробови,
сите спомени се вртеа во мојот мозок,
а јас бев само слуга на минатото.
Ти бешеш блиску, но и далеку,
и ми пушташе анксиозност во крвта.

Сега ти си оти, а јас останавме
со тагата што се шиеше
меѓу ѕидините на моето срце,
неа, единствената. 
Се слушав како времето помина
и секој ден се чувствуваше како вечен.

Минуваа години, но споменот на тебе
се оставаше како траен траг,
сите денови се слично,
и секој звук ми го напоминаваше
дека ти си оти.
Сега ти си дел од спомените,
и јас останавме во тишината на минатото.

Анксиозноста ме следеше како сенка,
и тагата беше мојот единствен пријател,
сите мои мисли се вртеаше околу тебе,
и јас бев осамен во светот на спомените.
Сега ти си дел од минатото,
и јас останавме во тишината на заборавот.",Петре М. Андреевски,Петре М. Андреевски,0.99995446,True
