new_song,author,author_pred,confidence,correct
"Што беше меѓу нас

Таа беше, цел мојата,
нејзината,
првата меѓу сите.
Со пречка беше пред мене,
но, сепак, нејзина.
Оти сета во неа ce,
меѓу нас ce, 
а во песоците на минатото,
тие беа пред мене, 
првата во мојата.
Што стигна од неа, сеа,
од тогаш, на крај ce.
Звукот на тагата ce слуша,
ех, во тишината, 
каде што нејзините визии ce,
забројани, препуштени.
Умреше, сè умре надеж,
душата, цел живот ce.
Времето не можам да го сместам
тука, меѓу нас, 
бидејќи тоа стои,
како првата,
што не дојде, не ce врати, не ce пројави.",Петре М. Андреевски,Петре М. Андреевски,0.7999654,True
"Тага за претходниот живот

Неговите зборови, како тежок облак,
ја гушеа нејзината душа.
Беше време на тага, на болка,
кога животот ѝ претставуваше само тегоба.

Пред неа, се развиваше сурова слика
за минатото што не можеше да го заборави.
Нејзината меморија, полна со бриги,
секојпат ја навраќаше нејзината судбина.

Сите нејзини соништа, еден по еден, исчезнуваа,
оставајќи ја во темнина и безнадежност.
Врската меѓу неа и нејзиниот свет
се кинеше, оставајќи го само празен простор.

Морализирањето на околината,
само ја засилуваше нејзината болка.
Со негативен тон и сè или ништо размислување,
таа стануваше заробеник на своите непријатели.

Потребата за комуникација, за разбирање,
станува сѐ поголема, а одговорите сѐ помалку.
Изолирана во својот свет на тага и сеќавања,
неа ја кинат гласовите на минатото.

Животот сѐ повеќе губи смисла,
а нејзината визија за иднината, се замаглува.
Во оваа борба за опстанок,
тој сѐ повеќе ја напушта.",Петре М. Андреевски,Блаже Конески,0.68270457,False
"Одглас

Остана само одгласот од нејзината сенка,
меѓу сите забораени спомени.
Пред да замре, нејзината беше првата глас
што ме повика во ноќта.

Слушам ја како одѕвонува во мојата тага,
што се вткаа во моите вени како змија.
Порано таа се извиваше во моите раскршени сонови,
но сега ми ја шепоти тажната приказна на нејзината душа.

Нејзините очи беа прозорец на маката,
низ кој ја гледав темнината на нејзината иднина.
Сенката и дампот на нејзиното минато ме прогонуваат,
додека стенкам во оковите на нејзината смртоносна вечност.

Вчера беше овде, меѓу сите нас.
Денес останува само еден глас што одекнува низ времето,
како мрачна мелодија на одјекнувачка туга,
што ме следи во сите мои чекори.",Петре М. Андреевски,Петре М. Андреевски,0.9957716,True
"Неотфрливи сенки

Беше првата,
пред сите беше таа.
Меѓу нас оддеднаш,
нејзината сенка паѓаше.

Мојата чекаше,
што ќе најде, ќе сфати
оти невидливата
поминува незабележливо.

Нејзината моќ,
нејзината убавина,
нејзината сигурност,
беа она што ја привлекуваше.

Не е ли тоа она
што ни ги зема,
ни ги одзема,
сите оние, што беа наши?

Сме ли да ја прифатиме,
нејзината доминација,
нејзиното присуство,
иако тоа сакаме или не?

Крајно време е да ја разбереме,
нејзината улога,
нејзиното значење,
за да ја прифатиме, а не да ја одбиваме.

Таа е дел од нас,
таа е оној глас,
што постојано нè следи,
што постојано нè водси.",Петре М. Андреевски,Петре М. Андреевски,0.9809379,True
"Нејзината мора

Длабока се нејзината жолт-сиви очи,
меѓу сите што се тука, само нејзините ми се важни.
Пред да ја срекнав, времето беше мрачно,
но нејзината беше првата душа што ја видов.

Сеќавањата за неа ги носам во мојата темна торба,
не можам да ги избришам ниту да ги отфрлам -
тие ме водат низ светот, долги и тажни,
а јас тропам по својот пат без цел.

Зрачат нејзината зборови во мојата глава,
како да ја слушам да ми прошепотува,
нежно и полека, во тишината на мислите,
додека се навраќам во она што минато беше.

Нејзината убавина ме обвиткува,
како облак што го зграпчува сонцето,
таа е толку блиску, а сепак толку далеку,
и јас се борам да ја заборавам, но секогаш ја носам со себе.",Петре М. Андреевски,Петре М. Андреевски,0.99668473,True
"Набљудувачот и Одблескот

Беше тоа шепот меѓу сите,
што го следевме со внимание.
Нејзината појава изненади,
оти порано ни беше далечна.

Првата средба ја одбележа мојата,
со желба да ја доближам до мене.
Пред неа се чувствував беспомошно,
оти мојата природа ја бараше нејзината.

Тогаш меѓу нас настана магија,
коja ги уништи преградите.
Нејзините погледи ме привлекуваа,
a јас ce впуштав во нејзината убавина.

Постепено како што ce зближувавме,
почнав да учам за нејзините желби.
Ce откријаа нејзините потреби,
кои и јас бев подготвен да ги исполнам.

Сега, кога сме едно, ја чувствувам
целосната привлечност и љубезност.
Нејзиниот збор ми дава насоки,
a јас безрезервно го следам нејзиниот пат.",Петре М. Андреевски,Петре М. Андреевски,0.8525053,True
"Меѓу сите нејзините први чекори

Беше мојата прва, првата која ми се јавуваше
Меѓу сите нејзините први чекори.
Пред нејзините очи, првата што ги видов,
Оти нејзината сенка ме следеше секаде.

Сè или ништо, мислев во себе, несигурна, колеблива,
Нејзината слика ме мачеше, ја гледав да блесне.
Сакав да ја фатам, да ја запрам, да ја прегрнам,
Но таа беше неопиплива, исчезнуваше меѓу сите.

Тагував што не можев да ја задржам,
Да ја пипам, да ја видам, да ја почувствувам.
Немирна, анксиозна, во болка се губев,
Затворена во својот негативен свет.

Денес, разбирам дека таа беше само привид,
Вечно колеблива сенка меѓу сите нејзини први чекори.
Но сѐ уште не можам да се ослободам од нејзиниот лик,
Тој непрестано ме обзема, ме следи во секој момент.",Петре М. Андреевски,Петре М. Андреевски,0.99418795,True
"Отпечатоци на миг

Беше тивко међу нас,
Сите погледи свртени кон неа.
Нејзината беше првата
Која застана пред сите.

Оти аудитивно ce здружија,
Во сегашноста ce срекаа.
Пред очите ни испуштена беше
Мојата сложувалка на впечатоци.

Интерпункциско кружење
Во миг на мезгалетност.
Зборовите пред мене ce искршија,
Растргнати од вртоглавица на сетила.",Петре М. Андреевски,Блаже Конески,0.5709852,False
"Нејзината првата

Минатото се стори меѓу нас,
нашите спомени прекриени со прав.
Нејзината рака допре моите усни,
тело до тело, на першунот што блести.

Беше ноќ кога ја сретнав, меѓу сенките,
нејзината душа со моја се сплете.
Оти во неа видов сè што сакав, мојата
првата љубов, нејзината нежност ме плете.

Нејзиниот глас одѕвонуваше во мојата глава,
а јас, заробен во нејзините очи, пловев.
Пред мене стоеше таа, со сета своја убавина,
и јас, ослободен од сите стреви, се пробудив.

Сите мои мисли беа за неа, за нејзината красота,
за нејзината душа што во мојата заживеа.
Таа беше мојата првата, мојата единствена,
нејзината љубов до крај ме заведе.",Петре М. Андреевски,Петре М. Андреевски,0.99939203,True
"На почетокот беше

Таа беше првата, меѓу сите, пред нас.
Во нејзината појава, сите беа опфатени,
оти тоа беше мојата славна визија -
сонот од најдлабоката длабочина на битието.

Таа доаѓаше, со секоја нова пролет,
ја носеше свежината на почетокот,
што полека, но непогрешливо, се разлеваше
во сите нас, исполнувајќи ни ги срцата.

Го следевме секој нејзин чекор,
следевме ја низ годините, бескрајни,
сведочејќи за нејзината вечна младост,
за нејзината непроменлива убавина.

Таа беше наша прва љубов,
што никогаш не згасна, што секогаш го освежуваше
нашето постоење, правејќи го посмислено,
исполнето со надеж и радост.

Таа беше, и ќе биде, нашата вечна,
единствена, несогорлива, вечна љубов -
цветот што никогаш не увенува,
светлината што никогаш не згаснува.",Петре М. Андреевски,Петре М. Андреевски,0.9926863,True
